City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Sitka,US,57.0531,-135.33,51.69,82,100,4.61,light rain
79,Hasaki,JP,35.7333,140.8333,66.6,92,100,14.05,light rain
80,Moerai,PF,-22.4333,-151.3333,74.59,63,49,18.19,scattered clouds
81,Panjab,AF,34.388,67.0233,55.0,56,79,3.22,broken clouds
82,Sao Gabriel,BR,-30.3364,-54.32,49.14,45,0,11.61,clear sky
83,Namatanai,PG,-3.6667,152.4333,78.53,78,10,7.07,clear sky
84,Chara,RU,56.9064,118.2631,54.66,91,98,2.73,moderate rain
85,Mar Del Plata,AR,-38.0023,-57.5575,56.08,70,0,11.5,clear sky
86,Bali,ID,-8.5,115.0,81.57,93,86,4.92,overcast clouds
87,Gorontalo,ID,0.5412,123.0595,74.52,95,34,3.06,scattered clouds
88,Narsaq,GL,60.9167,-46.05,55.62,58,100,6.26,overcast clouds
89,Nchelenge,ZM,-9.3451,28.734,71.69,61,8,4.25,clear sky
90,Redcar,GB,54.6166,-1.06,65.53,53,18,14.0,few clouds
91,Antalaha,MG,-14.9003,50.2788,72.25,80,21,10.83,few clouds
92,Taoudenni,ML,22.6783,-3.9836,114.98,5,3,5.48,clear sky
93,Seymchan,RU,62.8833,152.4333,43.38,92,100,2.42,light rain
94,Chuy,UY,-33.6971,-53.4616,52.74,60,65,17.81,broken clouds
95,Shingu,JP,33.7333,135.9833,64.33,95,100,7.58,overcast clouds
96,Zelenogradsk,RU,54.9589,20.4767,69.85,56,0,6.71,clear sky
97,Poya,NC,-21.35,165.15,70.3,90,52,1.66,broken clouds
98,Port Lincoln,AU,-34.7333,135.8667,52.88,75,6,6.78,clear sky
99,Pundaguitan,PH,6.3711,126.1689,83.12,71,72,6.42,broken clouds
100,Cidreira,BR,-30.1811,-50.2056,51.12,57,4,20.0,clear sky
101,Nagato,JP,34.3833,131.2,65.19,94,20,11.95,few clouds
102,Port Elizabeth,ZA,-33.918,25.5701,79.09,37,0,3.44,clear sky
103,Provideniya,RU,64.3833,-173.3,36.36,77,44,2.33,scattered clouds
104,Mount Gambier,AU,-37.8333,140.7667,50.59,77,100,10.89,overcast clouds
105,Talnakh,RU,69.4865,88.3972,63.21,46,8,8.19,clear sky
106,Dehui,CN,44.5333,125.7,64.13,72,28,5.99,scattered clouds
107,Krasnystaw,PL,50.9846,23.1742,75.4,68,7,10.98,clear sky
108,Saskatoon,CA,52.1168,-106.6345,68.16,54,75,8.05,broken clouds
109,Tromso,NO,69.6496,18.957,49.37,81,75,16.11,light intensity shower rain
110,Daru,PG,-9.0763,143.2092,77.88,89,100,15.7,overcast clouds
111,Pasighat,IN,28.0667,95.3333,74.8,97,100,3.42,overcast clouds
112,Bandarbeyla,SO,9.4942,50.8122,81.01,73,95,30.6,overcast clouds
113,Olafsvik,IS,64.8945,-23.7142,46.9,76,100,4.72,overcast clouds
114,Taksimo,RU,56.3444,114.8794,56.89,85,100,2.89,light rain
115,Faanui,PF,-16.4833,-151.75,79.52,76,31,18.45,light rain
116,Cururupu,BR,-1.8283,-44.8683,86.47,62,25,7.67,scattered clouds
117,Clyde River,CA,70.4692,-68.5914,34.03,93,100,12.66,overcast clouds
118,Ipswich,GB,52.0592,1.1555,73.4,48,75,14.97,broken clouds
119,Yulara,AU,-25.2406,130.9889,46.4,54,6,6.4,clear sky
120,Kaitangata,NZ,-46.2817,169.8464,34.41,80,78,6.02,broken clouds
121,Beringovskiy,RU,63.05,179.3167,38.53,70,47,5.14,scattered clouds
122,Cayenne,GF,4.9333,-52.3333,85.08,12,75,9.22,broken clouds
123,Uyemskiy,RU,64.4743,40.8524,64.45,36,20,4.47,few clouds
124,Adrar,MR,20.5022,-10.0711,109.85,7,37,5.64,scattered clouds
125,Kurdzhinovo,RU,43.9884,40.9552,63.1,90,97,2.71,overcast clouds
126,Izhma,RU,65.0083,53.9113,48.18,48,99,11.14,overcast clouds
127,Prince Rupert,CA,54.3161,-130.3201,51.49,79,75,27.63,broken clouds
128,Huarmey,PE,-10.0681,-78.1522,68.67,73,83,9.95,broken clouds
129,Mwanza,TZ,-2.5167,32.9,73.22,65,20,4.65,few clouds
130,Pevek,RU,69.7008,170.3133,36.32,64,74,6.58,broken clouds
131,Jamestown,US,42.097,-79.2353,71.19,37,71,1.99,broken clouds
132,Gracac,HR,44.3006,15.8547,76.75,64,15,14.0,few clouds
133,Miandrivazo,MG,-19.5167,45.4667,77.58,45,0,3.87,clear sky
134,Trindade,BR,-16.6494,-49.4889,71.35,43,98,5.5,overcast clouds
135,Havre-Saint-Pierre,CA,50.2334,-63.5986,59.36,77,0,23.02,clear sky
136,Old Town,CZ,50.087,14.4202,80.15,41,0,9.22,clear sky
137,Grindavik,IS,63.8424,-22.4338,54.07,66,75,17.27,broken clouds
138,Kichera,RU,55.9375,110.0997,53.91,73,31,1.74,scattered clouds
139,Vaini,TO,-21.2,-175.2,75.36,88,20,5.75,few clouds
140,Voznesenye,RU,61.0106,35.4781,56.7,59,0,4.18,clear sky
141,Hithadhoo,MV,-0.6,73.0833,83.44,72,33,8.46,moderate rain
142,Tynda,RU,55.1667,124.7167,55.44,67,47,2.77,scattered clouds
143,Gazojak,TM,41.1875,61.4036,84.11,27,88,12.06,overcast clouds
144,Nyurba,RU,63.2842,118.3319,49.37,82,100,5.91,light rain
145,Rudbar,AF,30.15,62.6,99.84,10,17,10.2,few clouds
146,Xining,CN,36.6167,101.7667,48.99,86,98,2.91,overcast clouds
147,Sur,OM,22.5667,59.5289,89.96,67,0,5.57,clear sky
148,Ribas Do Rio Pardo,BR,-20.4431,-53.7592,70.18,36,90,8.95,overcast clouds
149,Atasu,KZ,48.6814,71.6433,67.44,36,56,5.26,broken clouds
150,Ous,RU,60.9058,61.5186,58.82,80,100,4.94,overcast clouds
151,Mazatlan,MX,23.2167,-106.4167,83.91,80,20,3.0,few clouds
152,Oktyabrskiy,RU,54.4815,53.471,58.37,91,95,6.49,overcast clouds
153,Eirunepe,BR,-6.6603,-69.8736,69.08,91,100,4.65,overcast clouds
154,Sao Felix Do Xingu,BR,-6.6447,-51.995,90.0,44,98,3.22,light rain
155,Beloha,MG,-25.1667,45.05,68.16,82,1,13.42,clear sky
156,Saint-Francois,FR,46.4154,3.9054,83.64,37,0,4.61,clear sky
157,Pasinler,TR,39.9803,41.6764,72.59,63,18,2.28,few clouds
158,Tupaciguara,BR,-18.5922,-48.705,68.18,68,100,5.99,overcast clouds
159,Sisimiut,GL,66.9395,-53.6735,41.18,66,40,11.63,scattered clouds
160,Ilulissat,GL,69.2167,-51.1,35.62,75,40,9.22,scattered clouds
161,Ihtiman,BG,42.4333,23.8167,64.17,98,99,6.17,overcast clouds
162,Bathsheba,BB,13.2167,-59.5167,84.81,70,40,23.02,scattered clouds
163,Nicoya,CR,10.1483,-85.452,82.44,76,67,4.16,broken clouds
164,Abu Zabad,SD,12.35,29.25,71.6,85,100,4.9,heavy intensity rain
165,Fairbanks,US,64.8378,-147.7164,51.1,77,0,0.0,clear sky
166,Codrington,AU,-38.2667,141.9667,51.8,77,100,19.19,overcast clouds
167,Randazzo,IT,37.8774,14.9501,77.43,49,7,7.0,clear sky
168,Arman,RU,59.7,150.1667,35.02,97,100,3.42,overcast clouds
169,Marzuq,YE,14.4,46.4667,86.49,31,72,6.85,broken clouds
170,Aasiaat,GL,68.7098,-52.8699,34.34,84,66,9.08,broken clouds
171,Kampong Thum,KH,12.7111,104.8887,82.35,72,100,2.13,overcast clouds
172,Taylorville,US,39.5489,-89.2945,76.87,73,40,3.44,scattered clouds
173,Port Hardy,CA,50.6996,-127.4199,53.78,82,75,2.3,broken clouds
174,Bilibino,RU,68.0546,166.4372,54.3,47,99,6.17,overcast clouds
175,Bonavista,CA,48.6499,-53.1147,55.2,77,100,18.9,overcast clouds
176,Hermanus,ZA,-34.4187,19.2345,71.8,48,100,6.15,overcast clouds
177,Borovoy,RU,55.4333,86.0833,76.28,53,0,8.95,clear sky
178,Longyearbyen,SJ,78.2186,15.6401,39.04,81,75,10.36,broken clouds
179,Mehamn,NO,71.0357,27.8492,46.31,70,100,9.84,overcast clouds
180,Fuyu,CN,45.1833,124.8167,64.99,69,80,7.14,broken clouds
181,Tumut,AU,-35.3,148.2167,47.21,68,100,12.64,overcast clouds
182,Ulaangom,MN,49.9811,92.0667,63.07,31,3,1.68,clear sky
183,Puri,IN,19.8,85.85,82.92,80,45,20.11,scattered clouds
184,Lagoa,PT,39.05,-27.9833,59.99,88,100,13.29,light rain
185,Pochutla,MX,15.7432,-96.4661,84.81,64,48,9.62,scattered clouds
186,Ambon,ID,-3.6954,128.1814,77.14,100,40,2.3,scattered clouds
187,Caltagirone,IT,37.2368,14.5126,80.28,40,0,14.36,clear sky
188,Rocha,UY,-34.4833,-54.3333,50.61,69,100,17.63,overcast clouds
189,Vila Velha,BR,-20.3297,-40.2925,78.75,71,75,11.5,broken clouds
190,Nanortalik,GL,60.1432,-45.2371,45.01,66,100,9.84,overcast clouds
191,Klaksvik,FO,62.2266,-6.589,56.32,99,80,9.69,light rain
192,Nalut,LY,30.3333,10.85,90.72,15,0,12.57,clear sky
193,Leningradskiy,RU,69.3833,178.4167,32.58,77,99,11.5,overcast clouds
194,Avarua,CK,-21.2078,-159.775,75.25,69,40,6.91,scattered clouds
195,Davila,PH,18.4726,120.5763,76.98,77,88,3.8,overcast clouds
196,Winnemucca,US,40.973,-117.7357,73.45,28,0,8.05,clear sky
197,Geraldton,AU,-28.7667,114.6,63.01,94,75,6.91,broken clouds
